rank,ps_id,wps_v3,wps_v2,delta,quality,cls,verdict_v3,title,org,theme,innov,feas,impact,demo_ab,team,diff,dataset,mfit
39,SIH26006,5.98,5.61,0.37,6.63,6.35,HIGH RISK,Development of an Intelligent Freight Forecasting Model for Optimized Vessel Chartering and Bulk Cargo Procurement from overseas to East Coast of India,Ministry of Steel,Transportation & Logistics,6.5,7.0,5.5,7.5,7.0,5.0,5.0,8.5
40,SIH26162,5.98,5.44,0.54,6.98,7.3,HIGH RISK,"AI-Based Detection and Classification of Industrial Fires and Persistent Thermal Sources Using NASA FIRMS, OSM & Satellite Data",National Technical Research Organisation (NTRO),Disaster Management,6.5,7.5,8.0,6.0,6.5,5.0,7.0,4.5
41,SIH26078,5.98,5.25,0.73,7.03,8.35,HIGH RISK,AI-Driven Spatio-Temporal Tracking of Extreme Weather Anomalies in Medium-Range Forecasts,Ministry of Earth Sciences (MoES),Smart Automation,6.5,7.0,7.5,7.5,7.0,5.5,6.0,4.5
42,SIH26131,5.97,5.83,0.14,6.65,4.8,HIGH RISK,Early detection and management of crop diseases and pest infestations,Government Of Maharashtra,"Agriculture, FoodTech & Rural Development",6.5,7.0,7.0,6.0,6.5,5.0,5.0,6.5
43,SIH26140,5.97,5.6,0.37,6.5,6.5,HIGH RISK,AI-Based Interactive Quantum Algorithm Learning Platform,Egreen Quanta,Smart Education,7.5,6.0,6.5,6.0,5.5,5.0,7.0,7.5
44,SIH26207,5.96,5.7,0.26,6.6,5.65,HIGH RISK,"Student Innovation-Smart education,a concept that describes learning in digital age. It enables learners to learn more effectively, efficiently, flexibly and comfortably.",AICTE,Smart Education,5.0,8.0,6.5,7.0,7.5,5.0,6.0,5.5
45,SIH26103,5.96,5.39,0.57,6.98,7.8,HIGH RISK,Use case on web-based integrated project-monitoring platform,MoSPI,Smart Automation,6.5,8.0,6.0,7.5,7.0,4.0,7.0,7.5
46,SIH26099,5.96,5.29,0.67,6.6,8.4,HIGH RISK,AI-Driven Standardization and Harmonization of Material Codes Across CPSEs,Ministry of Petroleum & Natural Gas,Smart Automation,6.5,6.5,6.0,7.5,7.0,5.0,7.0,8.5
47,SIH26042,5.95,5.75,0.2,6.5,5.3,HIGH RISK,Al-Powered Vernacular Pedagogy and Real-Time Translation Tool for Mother Tongue-Based Primary Education,Governmcnt of Jharkhand,Smart Education,6.5,7.0,6.5,6.0,6.0,5.0,5.0,8.5
48,SIH26043,5.95,5.64,0.31,6.48,5.9,HIGH RISK,A digital platform to crowdsource societal challenges and facilitate collaborative problem solving through universities and industry partnerships,Governmcnt of Jharkhand,Smart Education,5.0,7.0,7.0,7.5,7.0,5.5,4.0,8.5
49,SIH26016,5.95,5.37,0.58,7.1,7.8,HIGH RISK,Real-Time National Land Acquisition & Management System for End-to-End Digital Monitoring and Decision Support,Ministry of Rural Development,Smart Automation,6.5,6.5,8.5,7.5,7.0,4.0,6.0,8.0
50,SIH26174,5.94,5.6,0.34,6.38,6.3,HIGH RISK,AI Human Activity Recognition for On-board BAS Experiments,Indian Space Research Organisation(ISRO),Space Technology,5.5,7.5,6.5,6.0,6.5,5.0,7.0,7.5
51,SIH26206,5.94,5.47,0.47,6.8,6.9,HIGH RISK,"Student Innovation-Disaster management includes ideas related to risk mitigation, Planning and management before, after or during a disaster.",AICTE,Disaster Management,5.0,8.0,7.5,7.0,7.5,5.0,6.0,5.5
52,SIH26028,5.94,5.35,0.59,6.63,7.7,HIGH RISK,Dynamic Forecast of Expected Time of Arrival (ETA) for Coaching Trains,Ministry of Railways,Smart Automation,6.5,7.0,5.5,7.5,7.0,5.5,5.0,8.5
53,SIH26084,5.94,5.22,0.72,7.03,8.45,HIGH RISK,"Convective scale nowcasting for Thunderstorms, Hail & Cloudbursts (06 hr)",Ministry of Earth Sciences (MoES),Disaster Management,6.5,7.0,7.5,7.5,7.0,5.0,5.5,7.0
54,SIH26094,5.93,5.69,0.24,6.98,5.6,HIGH RISK,AI-Powered Dynamic Mental Health Monitoring and Distress Prediction System for Victims of Atrocities,Ministry of Social Justice and Empowerment (MoSJE),MedTech / BioTech / HealthTech,6.5,7.0,7.5,7.5,6.5,4.0,5.0,6.5
55,SIH26093,5.92,5.67,0.25,6.98,5.7,HIGH RISK,AI-Based Real-Time Stress and Trauma Assessment Module for Victims/Complainants Accessing NHAA (14566) and Integrated Portal,Ministry of Social Justice and Empowerment (MoSJE),MedTech / BioTech / HealthTech,6.5,7.0,7.5,7.5,6.5,4.0,5.0,6.5
56,SIH26175,5.92,5.45,0.47,6.5,7.1,HIGH RISK,DepthWizard - Single-View Height Estimation and 3D Flythrough,Indian Space Research Organisation(ISRO),Disaster Management,6.5,7.0,7.5,6.0,4.0,5.0,8.0,5.5
57,SIH26158,5.91,5.41,0.5,6.81,7.15,HIGH RISK,Single-Pass Drone Video to Accurate 3D Model Generation System,National Technical Research Organisation (NTRO),Robotics and Drones,7.3,7.5,6.0,6.0,6.5,5.0,7.0,4.5
58,SIH26102,5.9,5.33,0.57,6.45,7.8,HIGH RISK,"Development of an AI-powered system to detect anomalies, fraud, and inefficiencies in MPLAD Scheme implementation regd.",MoSPI,Smart Automation,5.5,7.5,5.5,7.5,7.0,5.0,7.0,7.5
59,SIH26021,5.89,5.75,0.14,6.35,5.05,HIGH RISK,Honey Chain: A block chain-based system for honey traceability and smart beekeeping management.,Ministry of MSME,"Agriculture, FoodTech & Rural Development",5.5,7.0,7.0,6.0,6.5,5.0,5.0,8.5
60,SIH26195,5.88,5.77,0.11,6.3,4.9,HIGH RISK,"Student Innovation-Solutions could be in the form of waste segregation, disposal, and improve sanitization system.",AICTE,Clean & Green Technology,5.0,8.0,5.0,7.0,7.5,5.0,6.0,5.5
61,SIH26208,5.88,5.77,0.11,6.3,4.9,HIGH RISK,"Student Innovation-Challenge your creative mind to conceptualize and develop unique toys and games based on our civilization, history, and culture etc.",AICTE,Toys & Games,5.0,8.0,5.0,7.0,7.5,5.0,6.0,5.5
62,SIH26033,5.88,5.7,0.18,6.35,5.25,HIGH RISK,Multiple intermediaries reduce farmers earnings and increase consumer prices.,"Ministry of Consumer Affairs, Food & Public Distribution","Agriculture, FoodTech & Rural Development",5.5,7.0,7.0,6.0,6.5,5.0,5.0,8.5
63,SIH26205,5.88,5.64,0.24,6.45,5.65,HIGH RISK,"Student Innovation-Submit your ideas to address the growing pressures on the city’s resources, transport networks, and logistic infrastructure.",AICTE,Transportation & Logistics,5.5,8.0,5.0,7.0,7.5,5.0,6.0,5.5
64,SIH26013,5.88,5.46,0.42,6.5,6.75,HIGH RISK,Automated lntegration and lntelligent Harmonization of Multi-source Geospatial Data for urban Land Record Management.,Ministry of Rural Development,Smart Automation,6.5,6.0,7.5,6.0,6.5,5.0,6.0,8.0
65,SIH26060,5.88,5.18,0.7,7.21,8.2,HIGH RISK,Digital Platform for efficient remote management of Indian Antarctic Research Stations,Ministry of Earth Sciences (MoES),Smart Automation,7.3,7.0,7.5,7.5,6.5,5.0,5.0,4.5
66,SIH26037,5.87,5.58,0.29,6.05,6.05,HIGH RISK,Adaptive Path Planning and Collision Avoidance for Autonomous Vehicles on Unstructured Indian Roads,MathWorks,Smart Vehicles,6.5,7.5,5.5,4.5,4.5,5.5,7.0,8.5
67,SIH26031,5.87,5.35,0.52,6.62,7.4,HIGH RISK,"Quality assessment and grading of onions are often subjective and vary across procurement centers, resulting in disputes and inconsistencies.","Ministry of Consumer Affairs, Food & Public Distribution",Smart Automation,5.5,7.0,7.0,7.5,7.0,5.0,5.0,8.5
68,SIH26082,5.86,5.45,0.41,6.73,6.55,HIGH RISK,Air Pollution–Weather Coupled Forecasting System (Delhi NCR Focus),Ministry of Earth Sciences (MoES),Clean & Green Technology,5.5,7.0,7.5,7.5,7.0,5.0,5.5,4.5
69,SIH26077,5.86,5.26,0.6,6.8,7.85,HIGH RISK,AI-Driven Hyper-Local Early Warning System for Severe Weather Nowcasting,Ministry of Earth Sciences (MoES),Disaster Management,6.5,7.0,7.5,6.0,7.0,5.0,6.0,7.0
70,SIH26166,5.85,5.46,0.39,6.45,6.7,HIGH RISK,"Multi-modal, Sun angle and scale invariant image correspondence using Chandrayaan-2 optical images (OHRC, TMC and IIRS)",Indian Space Research Organisation(ISRO),Space Technology,6.5,7.5,6.5,4.5,6.5,5.0,7.0,7.5
71,SIH26054,5.85,5.39,0.46,6.64,6.95,HIGH RISK,"AI-Enabled Real-Time Digital Twin System for Health Monitoring, Fault Prediction and Mission Reliability Enhancement of Aero Piston Engines used in MALE UAVs.",DRDO,Robotics and Drones,7.3,7.0,5.5,6.0,7.0,5.0,5.5,7.5
72,SIH26034,5.85,5.37,0.48,6.6,7.5,HIGH RISK,"Software System to check compliance of Packaged Commodities under Legal Metrology(Packaged Commodities) Rules, 2011 by scanning products, images and labels.","Ministry of Consumer Affairs, Food & Public Distribution",Miscellaneous,5.0,7.5,7.0,7.5,7.0,4.0,7.0,8.5
73,SIH26201,5.84,5.52,0.32,6.45,6.15,HIGH RISK,"Student Innovation-There is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc.",AICTE,Robotics and Drones,5.5,8.0,5.0,7.0,7.5,5.0,6.0,5.5
74,SIH26203,5.83,5.64,0.19,6.3,5.4,HIGH RISK,Student Innovation-Creating intelligent devices to improve commutation sector.,AICTE,Smart Vehicles,5.0,8.0,5.0,7.0,7.5,5.0,6.0,5.5
75,SIH26209,5.81,5.58,0.23,6.3,5.65,HIGH RISK,"Student Innovation-Space technology refers to the application of engineering principles to the design, development, manufacture, and operation of devices and systems for space travel and exploration.",AICTE,Space Technology,5.0,8.0,5.0,7.0,7.5,5.0,6.0,5.5
76,SIH26142,5.8,5.45,0.35,6.35,6.25,HIGH RISK,Deep Learning Based Super Resolution Mapping (SRM) from Medium Resolution Satellite Imageries,National Technical Research Organisation (NTRO),Space Technology,6.5,7.5,6.0,4.5,6.5,5.5,7.0,4.5
77,SIH26132,5.8,5.42,0.38,6.65,6.45,HIGH RISK,Strengthening market linkages and price discovery for farmers,Government Of Maharashtra,"Agriculture, FoodTech & Rural Development",6.5,7.0,7.0,6.0,6.5,5.0,5.0,6.5
78,SIH26085,5.8,5.2,0.6,6.73,7.85,HIGH RISK,Urban Flood Nowcasting System (Drainage and Rainfall Coupling),Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,7.5,7.0,5.0,5.0,7.0
79,SIH26069,5.8,5.11,0.69,6.67,8.55,HIGH RISK,National Weather Big Data Analytics Platform,Ministry of Earth Sciences (MoES),Disaster Management,5.0,7.0,8.0,7.5,7.0,5.0,6.0,7.0
80,SIH26197,5.79,5.54,0.25,6.3,5.8,HIGH RISK,Student Innovation-Ideas that showcase the rich cultural heritage and traditions of India.,AICTE,Heritage & Culture,5.0,8.0,5.0,7.0,7.5,5.0,6.0,5.5
81,SIH26196,5.79,5.52,0.27,6.3,5.9,HIGH RISK,Student Innovation-Ideas that can boost fitness activities and assist in keeping fit.,AICTE,Fitness & Sports,5.0,8.0,5.0,7.0,7.5,5.0,6.0,5.5
82,SIH26204,5.79,5.52,0.27,6.3,5.9,HIGH RISK,"Student Innovation-A solution/idea that can boost the current situation of the tourism industries including hotels, travel and others.",AICTE,Travel & Tourism,5.0,8.0,5.0,7.0,7.5,5.0,6.0,5.5
83,SIH26191,5.79,5.22,0.57,6.78,7.55,HIGH RISK,"Intelligent Identification of Hazard-Based Red Zones, Carrying Capacity Assessment, and Immediate Relocation Needs for Vulnerable Habitations",Ministry of Home Affairs,Disaster Management,5.5,7.0,8.0,7.5,6.5,5.0,5.0,5.5
84,SIH26163,5.79,5.1,0.69,6.5,8.6,HIGH RISK,Security Assessment of the World Monitor application,National Technical Research Organisation (NTRO),Smart Automation,5.5,7.5,6.0,7.5,6.5,5.0,8.0,4.5
85,SIH26100,5.76,5.39,0.37,6.3,6.9,HIGH RISK,AI-Powered Integrated Bid Compliance Verification Platform for GeM Procurement,Ministry of Petroleum & Natural Gas,Smart Automation,5.0,7.5,5.5,7.5,7.0,4.0,7.0,8.5
86,SIH26083,5.76,5.1,0.66,6.73,8.25,HIGH RISK,Extreme Heatwave Early Warning and Human Thermal Stress Index,Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,7.5,7.0,5.0,5.0,7.0
87,SIH26090,5.75,5.24,0.51,6.58,7.35,HIGH RISK,AI-Driven Market Linkage and Smart Cataloging Mobile Application for Marginalized Artisans,Ministry of Social Justice and Empowerment (MoSJE),Heritage & Culture,6.5,7.0,5.5,7.5,6.5,5.0,5.0,6.5
88,SIH26124,5.75,5.1,0.65,6.63,8.2,HIGH RISK,AI-Powered Mobile Urban Intelligence Platform Using Public Transport Fleet,Bharat Electronics Limited,Smart Automation,6.5,7.0,5.5,7.5,7.0,5.0,5.0,7.5
89,SIH26081,5.75,5.08,0.67,6.73,8.35,HIGH RISK,Hybrid AI–NWP Multi-Model Forecast Blending System,Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,7.5,7.0,5.0,5.0,7.0
90,SIH26079,5.75,5.07,0.68,6.73,8.2,HIGH RISK,AI-Based Forecast Bust Detection for Medium-Range Weather Forecasts,Ministry of Earth Sciences (MoES),Smart Automation,5.5,7.0,7.5,7.5,7.0,5.5,5.0,4.5
91,SIH26097,5.74,5.56,0.18,6.3,5.35,HIGH RISK,AI-Driven voice Assistant for livelihood Mapping and NSQF-Aligned Skilling Recommendations for SC Communities under GIA component of PM-AJAY,Ministry of Social Justice and Empowerment (MoSJE),"Agriculture, FoodTech & Rural Development",5.5,7.0,7.0,6.0,6.0,5.0,5.0,6.5
92,SIH26056,5.74,5.21,0.53,6.53,7.8,HIGH RISK,Development of a Real-time Airfare Price Index for India through Automated Web Scraping of Airline and Online Travel Aggregator Portals for Augmentation of the Consumer Price Index (CPI).,MoSPI,Smart Automation,5.0,8.0,6.0,7.5,7.0,4.0,7.0,7.5
93,SIH26074,5.73,5.55,0.18,6.45,5.2,HIGH RISK,Downscaling of weather forecast from Block level to Panchayat level: Inferring high-resolution plots/ data/ information from low-resolution plot /data /information /variables for agro-meteorological advisory services.,Ministry of Earth Sciences (MoES),"Agriculture, FoodTech & Rural Development",5.5,7.0,7.5,6.0,6.5,5.0,5.0,4.5
94,SIH26200,5.73,5.39,0.34,6.3,6.4,HIGH RISK,Student Innovation-Innovative ideas that help manage and generate renewable /sustainable sources more efficiently,AICTE,Renewable / Sustainable Energy,5.0,8.0,5.0,7.0,7.5,5.0,6.0,5.5
95,SIH26107,5.73,5.38,0.35,6.58,6.6,HIGH RISK,Al-powered Intelligent Assistant for Indian Standards and BIS Services for Industries and Consumers,"Ministry of Consumer Affairs, Food & Public Distribution",Smart Automation,5.5,7.0,7.0,7.5,6.5,4.0,5.0,8.5
96,SIH26108,5.73,5.38,0.35,6.58,6.6,HIGH RISK,AI-Powered Recommendation Engine for Identifying Applicable Indian Standards for Procurement Specifications,"Ministry of Consumer Affairs, Food & Public Distribution",Smart Automation,5.5,7.0,7.0,7.5,6.5,4.0,5.0,8.5
97,SIH26009,5.72,5.54,0.18,6.1,5.5,HIGH RISK,Using AI/ML and Space Technology to Identify Manganese Reserves and Overcome Production Shortfalls.,Ministry of Steel,Space Technology,5.5,7.0,5.5,6.0,7.0,5.0,5.0,8.5
98,SIH26073,5.72,5.06,0.66,6.5,8.25,HIGH RISK,AI/ML-Based Intelligent Anomaly Detection for Automatic Weather Stations (AWS),Ministry of Earth Sciences (MoES),Disaster Management,5.5,7.0,7.5,6.0,7.0,5.5,5.5,7.0
99,SIH26057,5.72,5.03,0.69,7.1,8.55,HIGH RISK,AI-Powered Automated Underwater Marine Debris and Anomaly Detection System using Side-Scan Sonar Imagery,Ministry of Earth Sciences (MoES),Disaster Management,8.0,5.5,7.5,7.5,7.0,4.0,5.0,7.0
100,SIH26194,5.71,5.33,0.38,6.3,6.65,HIGH RISK,Student Innovation-Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors.,AICTE,Blockchain & Cybersecurity,5.0,8.0,5.0,7.0,7.5,5.0,6.0,5.5
101,SIH26187,5.71,5.09,0.62,6.85,7.9,HIGH RISK,AI-Based Intelligent Video Analytics Platform for Border Surveillance using existing CCTV Infrastructure.,Ministry of Home Affairs,Blockchain & Cybersecurity,6.5,7.0,8.0,6.0,6.5,5.0,5.0,5.5
102,SIH26189,5.71,5.09,0.62,6.85,7.9,HIGH RISK,AI-Powered Criminal Network Analysis System,Ministry of Home Affairs,Blockchain & Cybersecurity,6.5,7.0,8.0,6.0,6.5,5.0,5.0,5.5
103,SIH26092,5.7,5.05,0.65,6.63,8.2,HIGH RISK,AI-Driven Scheme Matching for Marginalized Entrepreneurs,Ministry of Social Justice and Empowerment (MoSJE),Smart Automation,6.5,7.0,5.5,7.5,7.0,5.0,5.0,6.5
104,SIH26182,5.69,5.12,0.57,6.42,7.7,HIGH RISK,Automated Attribution of Unknown Cryptocurrency Wallets to Nearest Virtual Asset Service Providers (VASPs) through Blockchain Intelligence APIs,Ministry of Home Affairs,Blockchain & Cybersecurity,5.0,6.0,8.0,7.5,7.0,5.5,5.0,5.5
105,SIH26165,5.67,5.18,0.49,6.33,7.4,HIGH RISK,AI/NLP Engine to Detect Serious Injury & Fatality (SIF) Precursors in OIL's Unsafe-Act/Unsafe-Condition and Near-Miss Reports,Oil India Limited,Smart Automation,5.5,7.0,5.5,7.5,7.0,5.0,5.0,7.5
