rank,ps_id,wps,quality,cls,verdict,title,org,theme,innov,feas,impact,demo_ab,team,diff,dataset,demox,mfit,expected,submit_by
21,SIH26131,5.83,6.65,4.8,HIGH RISK — Skip or keep only as backup,Early detection and management of crop diseases and pest infestations,Government Of Maharashtra,"Agriculture, FoodTech & Rural Development",6.5,7.0,7.0,6.0,6.5,5.0,5.0,6.0,6.5,240,Submit by 19 Sep (LOW freeze risk)
22,SIH26002,5.82,6.58,5.45,HIGH RISK — Skip or keep only as backup,Al-Based Smart Logistics and Accessibility Intelligence Platform for North Eastern Region (NER),Ministry of Development of North Eastern Region (MDoNER),Transportation & Logistics,6.5,7.0,5.5,7.5,6.5,5.0,5.0,7.5,8.5,272,Submit by 18 Sep (MEDIUM freeze risk)
23,SIH26041,5.81,6.53,5.6,HIGH RISK — Skip or keep only as backup,AR-Based Vocational Training Simulator for Industrial Safety in Jharkhand's Mining & Manufacturing Sector,Governmcnt of Jharkhand,Smart Education,5.5,7.0,6.5,7.5,7.0,5.0,5.5,7.5,8.5,279,Submit by 18 Sep (MEDIUM freeze risk)
24,SIH26176,5.8,7.3,6.2,HIGH RISK — Skip or keep only as backup,ORCA Marine EcOsystem Reasoning with Collaborative Agents,Indian Space Research Organisation(ISRO),Disaster Management,8.0,7.0,8.0,6.0,6.5,5.0,6.0,6.0,5.5,310,Submit by 18 Sep (MEDIUM freeze risk)
25,SIH26193,5.78,6.7,5.5,HIGH RISK — Skip or keep only as backup,"Student Innovation-Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce.",AICTE,"Agriculture, FoodTech & Rural Development",5.0,8.0,7.0,7.0,7.5,5.0,6.0,7.0,5.5,275,Submit by 18 Sep (MEDIUM freeze risk)
26,SIH26195,5.77,6.3,4.9,HIGH RISK — Skip or keep only as backup,"Student Innovation-Solutions could be in the form of waste segregation, disposal, and improve sanitization system.",AICTE,Clean & Green Technology,5.0,8.0,5.0,7.0,7.5,5.0,6.0,7.0,5.5,245,Submit by 19 Sep (LOW freeze risk)
27,SIH26208,5.77,6.3,4.9,HIGH RISK — Skip or keep only as backup,"Student Innovation-Challenge your creative mind to conceptualize and develop unique toys and games based on our civilization, history, and culture etc.",AICTE,Toys & Games,5.0,8.0,5.0,7.0,7.5,5.0,6.0,7.0,5.5,245,Submit by 19 Sep (LOW freeze risk)
28,SIH26019,5.75,7.25,7.4,HIGH RISK — Skip or keep only as backup,"National Digital Platform for Research, Policy Innovation, and Evidence-Based Land Governance",Ministry of Rural Development,Smart Automation,6.5,7.5,8.0,7.5,7.0,5.5,6.0,7.5,8.0,370,Submit by 17 Sep (HIGH freeze risk)
29,SIH26021,5.75,6.35,5.05,HIGH RISK — Skip or keep only as backup,Honey Chain: A block chain-based system for honey traceability and smart beekeeping management.,Ministry of MSME,"Agriculture, FoodTech & Rural Development",5.5,7.0,7.0,6.0,6.5,5.0,5.0,6.0,8.5,252,Submit by 18 Sep (MEDIUM freeze risk)
30,SIH26042,5.75,6.5,5.3,HIGH RISK — Skip or keep only as backup,Al-Powered Vernacular Pedagogy and Real-Time Translation Tool for Mother Tongue-Based Primary Education,Governmcnt of Jharkhand,Smart Education,6.5,7.0,6.5,6.0,6.0,5.0,5.0,6.0,8.5,265,Submit by 18 Sep (MEDIUM freeze risk)
31,SIH26198,5.74,6.7,5.65,HIGH RISK — Skip or keep only as backup,"Student Innovation-Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation.",AICTE,MedTech / BioTech / HealthTech,5.0,8.0,7.0,7.0,7.5,5.0,6.0,7.0,5.5,282,Submit by 18 Sep (MEDIUM freeze risk)
32,SIH26229,5.71,6.63,5.95,HIGH RISK — Skip or keep only as backup,"Kabadiwala Connect – Bringing the Informal Collector into the Formal Recycling
Chain",Ministry of Mines (MoM),Clean & Green Technology,6.5,7.0,5.5,7.5,7.0,5.0,5.0,7.5,8.5,297,Submit by 18 Sep (MEDIUM freeze risk)
33,SIH26033,5.7,6.35,5.25,HIGH RISK — Skip or keep only as backup,Multiple intermediaries reduce farmers earnings and increase consumer prices.,"Ministry of Consumer Affairs, Food & Public Distribution","Agriculture, FoodTech & Rural Development",5.5,7.0,7.0,6.0,6.5,5.0,5.0,6.0,8.5,262,Submit by 18 Sep (MEDIUM freeze risk)
34,SIH26207,5.7,6.6,5.65,HIGH RISK — Skip or keep only as backup,"Student Innovation-Smart education,a concept that describes learning in digital age. It enables learners to learn more effectively, efficiently, flexibly and comfortably.",AICTE,Smart Education,5.0,8.0,6.5,7.0,7.5,5.0,6.0,7.0,5.5,282,Submit by 18 Sep (MEDIUM freeze risk)
35,SIH26094,5.69,6.98,5.6,HIGH RISK — Skip or keep only as backup,AI-Powered Dynamic Mental Health Monitoring and Distress Prediction System for Victims of Atrocities,Ministry of Social Justice and Empowerment (MoSJE),MedTech / BioTech / HealthTech,6.5,7.0,7.5,7.5,6.5,4.0,5.0,7.5,6.5,279,Submit by 18 Sep (MEDIUM freeze risk)
36,SIH26141,5.69,6.1,6.9,HIGH RISK — Skip or keep only as backup,Quantum-Inspired Cyber Threat Detection for Digital Signature Security,Egreen Quanta,Blockchain & Cybersecurity,6.5,6.0,5.5,7.0,5.0,7.0,7.0,7.0,7.5,345,Submit by 18 Sep (MEDIUM freeze risk)
37,SIH26093,5.67,6.98,5.7,HIGH RISK — Skip or keep only as backup,AI-Based Real-Time Stress and Trauma Assessment Module for Victims/Complainants Accessing NHAA (14566) and Integrated Portal,Ministry of Social Justice and Empowerment (MoSJE),MedTech / BioTech / HealthTech,6.5,7.0,7.5,7.5,6.5,4.0,5.0,7.5,6.5,285,Submit by 18 Sep (MEDIUM freeze risk)
38,SIH26018,5.65,7.18,7.7,HIGH RISK — Skip or keep only as backup,Intelligent Land Record Digitization and Validation System,Ministry of Rural Development,Smart Automation,8.0,6.0,7.5,7.5,6.5,5.5,6.0,7.5,8.0,385,Submit by 17 Sep (HIGH freeze risk)
39,SIH26043,5.64,6.48,5.9,HIGH RISK — Skip or keep only as backup,A digital platform to crowdsource societal challenges and facilitate collaborative problem solving through universities and industry partnerships,Governmcnt of Jharkhand,Smart Education,5.0,7.0,7.0,7.5,7.0,5.5,4.0,7.5,8.5,295,Submit by 18 Sep (MEDIUM freeze risk)
40,SIH26186,5.64,6.9,6.9,HIGH RISK — Skip or keep only as backup,AI-Based Predictive Personnel Stress and Welfare Monitoring System for Uniformed Forces,Ministry of Home Affairs,MedTech / BioTech / HealthTech,5.0,7.5,8.5,7.5,7.0,5.0,7.0,7.5,5.5,345,Submit by 18 Sep (MEDIUM freeze risk)
41,SIH26203,5.64,6.3,5.4,HIGH RISK — Skip or keep only as backup,Student Innovation-Creating intelligent devices to improve commutation sector.,AICTE,Smart Vehicles,5.0,8.0,5.0,7.0,7.5,5.0,6.0,7.0,5.5,270,Submit by 18 Sep (MEDIUM freeze risk)
42,SIH26205,5.64,6.45,5.65,HIGH RISK — Skip or keep only as backup,"Student Innovation-Submit your ideas to address the growing pressures on the city’s resources, transport networks, and logistic infrastructure.",AICTE,Transportation & Logistics,5.5,8.0,5.0,7.0,7.5,5.0,6.0,7.0,5.5,282,Submit by 18 Sep (MEDIUM freeze risk)
43,SIH26133,5.63,6.88,6.3,HIGH RISK — Skip or keep only as backup,"Accessibility and quality of public healthcare services,particularly in rural and underserved areas",Government Of Maharashtra,MedTech / BioTech / HealthTech,6.5,7.0,7.0,7.5,6.5,5.0,5.0,7.5,6.5,315,Submit by 18 Sep (MEDIUM freeze risk)
44,SIH26035,5.62,6.85,7.5,HIGH RISK — Skip or keep only as backup,Development of a Software Program/Application for Generation of Test Reports for Non-Automatic Weighing Instruments (NAWI) as per OIML Recommendation R- 76,"Ministry of Consumer Affairs, Food & Public Distribution",Miscellaneous,5.5,7.5,7.5,7.5,7.0,5.0,7.0,7.5,8.5,375,Submit by 17 Sep (HIGH freeze risk)
45,SIH26139,5.62,6.55,6.5,HIGH RISK — Skip or keep only as backup,Hybrid Quantum Machine Learning Platform for Early Disease Detection,Egreen Quanta,MedTech / BioTech / HealthTech,7.5,6.0,7.0,6.0,5.0,5.0,7.0,6.0,7.5,325,Submit by 18 Sep (MEDIUM freeze risk)
46,SIH26006,5.61,6.63,6.35,HIGH RISK — Skip or keep only as backup,Development of an Intelligent Freight Forecasting Model for Optimized Vessel Chartering and Bulk Cargo Procurement from overseas to East Coast of India,Ministry of Steel,Transportation & Logistics,6.5,7.0,5.5,7.5,7.0,5.0,5.0,7.5,8.5,317,Submit by 18 Sep (MEDIUM freeze risk)
47,SIH26140,5.6,6.5,6.5,HIGH RISK — Skip or keep only as backup,AI-Based Interactive Quantum Algorithm Learning Platform,Egreen Quanta,Smart Education,7.5,6.0,6.5,6.0,5.5,5.0,7.0,6.0,7.5,325,Submit by 18 Sep (MEDIUM freeze risk)
48,SIH26174,5.6,6.38,6.3,HIGH RISK — Skip or keep only as backup,AI Human Activity Recognition for On-board BAS Experiments,Indian Space Research Organisation(ISRO),Space Technology,5.5,7.5,6.5,6.0,6.5,5.0,7.0,6.0,7.5,315,Submit by 18 Sep (MEDIUM freeze risk)
49,SIH26037,5.58,6.05,6.05,HIGH RISK — Skip or keep only as backup,Adaptive Path Planning and Collision Avoidance for Autonomous Vehicles on Unstructured Indian Roads,MathWorks,Smart Vehicles,6.5,7.5,5.5,4.5,4.5,5.5,7.0,4.5,8.5,302,Submit by 18 Sep (MEDIUM freeze risk)
50,SIH26209,5.58,6.3,5.65,HIGH RISK — Skip or keep only as backup,"Student Innovation-Space technology refers to the application of engineering principles to the design, development, manufacture, and operation of devices and systems for space travel and exploration.",AICTE,Space Technology,5.0,8.0,5.0,7.0,7.5,5.0,6.0,7.0,5.5,282,Submit by 18 Sep (MEDIUM freeze risk)
51,SIH26012,5.57,7.48,8.2,HIGH RISK — Skip or keep only as backup,AI-Based Automated Urban Parcel Mapping and Cadastral Feature Extraction System using Drone lmagery,Ministry of Rural Development,Smart Automation,8.0,7.0,7.5,7.5,7.0,5.0,6.0,7.5,8.0,410,Submit by 17 Sep (HIGH freeze risk)
52,SIH26001,5.56,7.18,7.85,HIGH RISK — Skip or keep only as backup,AI-Based early warning and landslide Risk Monitoring System in NER,Ministry of Development of North Eastern Region (MDoNER),Disaster Management,8.0,6.0,7.5,7.5,6.5,5.0,6.0,7.5,8.5,392,Submit by 17 Sep (HIGH freeze risk)
53,SIH26097,5.56,6.3,5.35,HIGH RISK — Skip or keep only as backup,AI-Driven voice Assistant for livelihood Mapping and NSQF-Aligned Skilling Recommendations for SC Communities under GIA component of PM-AJAY,Ministry of Social Justice and Empowerment (MoSJE),"Agriculture, FoodTech & Rural Development",5.5,7.0,7.0,6.0,6.0,5.0,5.0,6.0,6.5,267,Submit by 18 Sep (MEDIUM freeze risk)
54,SIH26074,5.55,6.45,5.2,HIGH RISK — Skip or keep only as backup,Downscaling of weather forecast from Block level to Panchayat level: Inferring high-resolution plots/ data/ information from low-resolution plot /data /information /variables for agro-meteorological advisory services.,Ministry of Earth Sciences (MoES),"Agriculture, FoodTech & Rural Development",5.5,7.0,7.5,6.0,6.5,5.0,5.0,6.0,4.5,260,Submit by 18 Sep (MEDIUM freeze risk)
55,SIH26009,5.54,6.1,5.5,HIGH RISK — Skip or keep only as backup,Using AI/ML and Space Technology to Identify Manganese Reserves and Overcome Production Shortfalls.,Ministry of Steel,Space Technology,5.5,7.0,5.5,6.0,7.0,5.0,5.0,6.0,8.5,275,Submit by 18 Sep (MEDIUM freeze risk)
56,SIH26197,5.54,6.3,5.8,HIGH RISK — Skip or keep only as backup,Student Innovation-Ideas that showcase the rich cultural heritage and traditions of India.,AICTE,Heritage & Culture,5.0,8.0,5.0,7.0,7.5,5.0,6.0,7.0,5.5,290,Submit by 18 Sep (MEDIUM freeze risk)
57,SIH26115,5.53,6.58,6.9,HIGH RISK — Skip or keep only as backup,Design and Develop a Smart Mobile Medical-Waste Collection and Segregation System,Autodesk,MedTech / BioTech / HealthTech,5.5,7.0,7.0,7.5,6.5,5.5,5.0,7.5,8.5,345,Submit by 18 Sep (MEDIUM freeze risk)
58,SIH26119,5.53,6.58,7.4,HIGH RISK — Skip or keep only as backup,Indigenous GPU-Accelerated Optimization Solver (Sovereign Alternative to Express / CEPLEX),Mangalore Refinery and Petrochemicals Limited (MRPL),Smart Automation,6.5,7.5,6.0,6.0,6.5,5.5,7.0,6.0,8.5,370,Submit by 17 Sep (HIGH freeze risk)
59,SIH26196,5.52,6.3,5.9,HIGH RISK — Skip or keep only as backup,Student Innovation-Ideas that can boost fitness activities and assist in keeping fit.,AICTE,Fitness & Sports,5.0,8.0,5.0,7.0,7.5,5.0,6.0,7.0,5.5,295,Submit by 18 Sep (MEDIUM freeze risk)
60,SIH26201,5.52,6.45,6.15,HIGH RISK — Skip or keep only as backup,"Student Innovation-There is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc.",AICTE,Robotics and Drones,5.5,8.0,5.0,7.0,7.5,5.0,6.0,7.0,5.5,307,Submit by 18 Sep (MEDIUM freeze risk)
61,SIH26204,5.52,6.3,5.9,HIGH RISK — Skip or keep only as backup,"Student Innovation-A solution/idea that can boost the current situation of the tourism industries including hotels, travel and others.",AICTE,Travel & Tourism,5.0,8.0,5.0,7.0,7.5,5.0,6.0,7.0,5.5,295,Submit by 18 Sep (MEDIUM freeze risk)
62,SIH26032,5.51,6.58,7.0,HIGH RISK — Skip or keep only as backup,"Farmers often face long waiting times, lack of information regarding procurement schedules, and uncertainty about procurement status.","Ministry of Consumer Affairs, Food & Public Distribution",Smart Automation,5.5,7.0,7.0,7.5,6.5,5.5,5.0,7.5,8.5,350,Submit by 17 Sep (HIGH freeze risk)
63,SIH26206,5.47,6.8,6.9,HIGH RISK — Skip or keep only as backup,"Student Innovation-Disaster management includes ideas related to risk mitigation, Planning and management before, after or during a disaster.",AICTE,Disaster Management,5.0,8.0,7.5,7.0,7.5,5.0,6.0,7.0,5.5,345,Submit by 18 Sep (MEDIUM freeze risk)
64,SIH26013,5.46,6.5,6.75,HIGH RISK — Skip or keep only as backup,Automated lntegration and lntelligent Harmonization of Multi-source Geospatial Data for urban Land Record Management.,Ministry of Rural Development,Smart Automation,6.5,6.0,7.5,6.0,6.5,5.0,6.0,6.0,8.0,337,Submit by 18 Sep (MEDIUM freeze risk)
65,SIH26166,5.46,6.45,6.7,HIGH RISK — Skip or keep only as backup,"Multi-modal, Sun angle and scale invariant image correspondence using Chandrayaan-2 optical images (OHRC, TMC and IIRS)",Indian Space Research Organisation(ISRO),Space Technology,6.5,7.5,6.5,4.5,6.5,5.0,7.0,4.5,7.5,335,Submit by 18 Sep (MEDIUM freeze risk)
66,SIH26082,5.45,6.73,6.55,HIGH RISK — Skip or keep only as backup,Air Pollution–Weather Coupled Forecasting System (Delhi NCR Focus),Ministry of Earth Sciences (MoES),Clean & Green Technology,5.5,7.0,7.5,7.5,7.0,5.0,5.5,7.5,4.5,327,Submit by 18 Sep (MEDIUM freeze risk)
67,SIH26142,5.45,6.35,6.25,HIGH RISK — Skip or keep only as backup,Deep Learning Based Super Resolution Mapping (SRM) from Medium Resolution Satellite Imageries,National Technical Research Organisation (NTRO),Space Technology,6.5,7.5,6.0,4.5,6.5,5.5,7.0,4.5,4.5,312,Submit by 18 Sep (MEDIUM freeze risk)
68,SIH26175,5.45,6.5,7.1,HIGH RISK — Skip or keep only as backup,DepthWizard - Single-View Height Estimation and 3D Flythrough,Indian Space Research Organisation(ISRO),Disaster Management,6.5,7.0,7.5,6.0,4.0,5.0,8.0,6.0,5.5,355,Submit by 17 Sep (HIGH freeze risk)
69,SIH26162,5.44,6.98,7.3,HIGH RISK — Skip or keep only as backup,"AI-Based Detection and Classification of Industrial Fires and Persistent Thermal Sources Using NASA FIRMS, OSM & Satellite Data",National Technical Research Organisation (NTRO),Disaster Management,6.5,7.5,8.0,6.0,6.5,5.0,7.0,6.0,4.5,365,Submit by 17 Sep (HIGH freeze risk)
70,SIH26027,5.43,6.05,5.85,HIGH RISK — Skip or keep only as backup,Al-Powered Automatic Block Planning to Maximize Asset Availability for Train Operations on Indian Railways,Ministry of Railways,Transportation & Logistics,5.5,7.0,5.5,6.0,6.5,5.0,5.0,6.0,8.5,292,Submit by 18 Sep (MEDIUM freeze risk)
71,SIH26132,5.42,6.65,6.45,HIGH RISK — Skip or keep only as backup,Strengthening market linkages and price discovery for farmers,Government Of Maharashtra,"Agriculture, FoodTech & Rural Development",6.5,7.0,7.0,6.0,6.5,5.0,5.0,6.0,6.5,322,Submit by 18 Sep (MEDIUM freeze risk)
72,SIH26158,5.41,6.81,7.15,HIGH RISK — Skip or keep only as backup,Single-Pass Drone Video to Accurate 3D Model Generation System,National Technical Research Organisation (NTRO),Robotics and Drones,7.3,7.5,6.0,6.0,6.5,5.0,7.0,6.0,4.5,357,Submit by 17 Sep (HIGH freeze risk)
73,SIH26054,5.39,6.64,6.95,HIGH RISK — Skip or keep only as backup,"AI-Enabled Real-Time Digital Twin System for Health Monitoring, Fault Prediction and Mission Reliability Enhancement of Aero Piston Engines used in MALE UAVs.",DRDO,Robotics and Drones,7.3,7.0,5.5,6.0,7.0,5.0,5.5,6.0,7.5,347,Submit by 18 Sep (MEDIUM freeze risk)
74,SIH26100,5.39,6.3,6.9,HIGH RISK — Skip or keep only as backup,AI-Powered Integrated Bid Compliance Verification Platform for GeM Procurement,Ministry of Petroleum & Natural Gas,Smart Automation,5.0,7.5,5.5,7.5,7.0,4.0,7.0,7.5,8.5,345,Submit by 18 Sep (MEDIUM freeze risk)
75,SIH26103,5.39,6.98,7.8,HIGH RISK — Skip or keep only as backup,Use case on web-based integrated project-monitoring platform,MoSPI,Smart Automation,6.5,8.0,6.0,7.5,7.0,4.0,7.0,7.5,7.5,390,Submit by 17 Sep (HIGH freeze risk)
76,SIH26200,5.39,6.3,6.4,HIGH RISK — Skip or keep only as backup,Student Innovation-Innovative ideas that help manage and generate renewable /sustainable sources more efficiently,AICTE,Renewable / Sustainable Energy,5.0,8.0,5.0,7.0,7.5,5.0,6.0,7.0,5.5,320,Submit by 18 Sep (MEDIUM freeze risk)
77,SIH26107,5.38,6.58,6.6,HIGH RISK — Skip or keep only as backup,Al-powered Intelligent Assistant for Indian Standards and BIS Services for Industries and Consumers,"Ministry of Consumer Affairs, Food & Public Distribution",Smart Automation,5.5,7.0,7.0,7.5,6.5,4.0,5.0,7.5,8.5,329,Submit by 18 Sep (MEDIUM freeze risk)
78,SIH26108,5.38,6.58,6.6,HIGH RISK — Skip or keep only as backup,AI-Powered Recommendation Engine for Identifying Applicable Indian Standards for Procurement Specifications,"Ministry of Consumer Affairs, Food & Public Distribution",Smart Automation,5.5,7.0,7.0,7.5,6.5,4.0,5.0,7.5,8.5,329,Submit by 18 Sep (MEDIUM freeze risk)
79,SIH26016,5.37,7.1,7.8,HIGH RISK — Skip or keep only as backup,Real-Time National Land Acquisition & Management System for End-to-End Digital Monitoring and Decision Support,Ministry of Rural Development,Smart Automation,6.5,6.5,8.5,7.5,7.0,4.0,6.0,7.5,8.0,390,Submit by 17 Sep (HIGH freeze risk)
80,SIH26034,5.37,6.6,7.5,HIGH RISK — Skip or keep only as backup,"Software System to check compliance of Packaged Commodities under Legal Metrology(Packaged Commodities) Rules, 2011 by scanning products, images and labels.","Ministry of Consumer Affairs, Food & Public Distribution",Miscellaneous,5.0,7.5,7.0,7.5,7.0,4.0,7.0,7.5,8.5,375,Submit by 17 Sep (HIGH freeze risk)
81,SIH26028,5.35,6.63,7.7,HIGH RISK — Skip or keep only as backup,Dynamic Forecast of Expected Time of Arrival (ETA) for Coaching Trains,Ministry of Railways,Smart Automation,6.5,7.0,5.5,7.5,7.0,5.5,5.0,7.5,8.5,385,Submit by 17 Sep (HIGH freeze risk)
82,SIH26031,5.35,6.62,7.4,HIGH RISK — Skip or keep only as backup,"Quality assessment and grading of onions are often subjective and vary across procurement centers, resulting in disputes and inconsistencies.","Ministry of Consumer Affairs, Food & Public Distribution",Smart Automation,5.5,7.0,7.0,7.5,7.0,5.0,5.0,7.5,8.5,370,Submit by 17 Sep (HIGH freeze risk)
83,SIH26102,5.33,6.45,7.8,HIGH RISK — Skip or keep only as backup,"Development of an AI-powered system to detect anomalies, fraud, and inefficiencies in MPLAD Scheme implementation regd.",MoSPI,Smart Automation,5.5,7.5,5.5,7.5,7.0,5.0,7.0,7.5,7.5,390,Submit by 17 Sep (HIGH freeze risk)
